CR,,unknown,,1,,[21.47176064, 22.50952681]
CR,,unknown,,2,,[19.33754717, 21.63883294]
CR,,unknown,,3,,[21.6694935, 21.66053352]
CR,,unknown,,4,,[20.95100619, 21.49218292]
CR,,unknown,,5,,[19.15839595, 21.87969185]
CR,,unknown,,6,,[18.78137022, 21.61902013]
CR,,unknown,,7,,[20.31434009, 22.14962341]
CR,,unknown,,8,,[20.3932984, 21.3552976]
CR,,unknown,,9,,[20.59901166, 21.95068517]
CR,,unknown,,10,,[19.70867183, 22.50969444]
DP,,unknown,,11,,[20.63972997, 22.04221332]
DP,,unknown,,12,,[19.93356379, 22.10256473]
DP,,unknown,,13,,[20.76841507, 21.50524397]
DP,,unknown,,14,,[21.75225953, 21.93311297]
DP,,unknown,,15,,[20.311292, 21.39363021]
DP,,unknown,,16,,[21.18479983, 21.7959324]
DP,,unknown,,17,,[21.12843221, 21.68141667]
DP,,unknown,,18,,[20.51343229, 22.01791281]
DP,,unknown,,19,,[20.43535189, 21.56434085]
DP,,unknown,,20,,[21.38015529, 21.47328397]
DP,,unknown,,21,,[20.83471691, 22.33493371]
